GEO_ID,county,he_2019,he_2018,he_2017,he_2016,he_2015,he_2014,he_2013,he_2012
0500000US53005,Benton County,73678,71921,72265,70434,69084,67815,68334,65945
0500000US53007,Chelan County,28974,31587,27060,28353,27068,27087,27665,27458
0500000US53009,Clallam County,33022,33265,33233,31837,32231,31361,30606,30044
0500000US53011,Clark County,180862,178980,173579,169997,166335,165133,158778,160145
0500000US53015,Cowlitz County,42790,43279,41611,40170,40187,40036,38483,38834
0500000US53021,Franklin County,28162,27067,26477,25903,25339,25542,24434,24270
0500000US53025,Grant County,30866,30806,31123,28351,30915,29758,29888,30543
0500000US53027,Grays Harbor County,29920,27674,29286,27330,27430,27401,26815,27880
0500000US53029,Island County,35586,34572,34537,33365,32939,32464,32990,32954
0500000US53033,King County,907761,897476,876639,861154,845990,825188,819434,804062
0500000US53035,Kitsap County,107525,105411,104902,101995,98490,95249,97854,97027
0500000US53041,Lewis County,31879,30327,31786,29509,29078,29969,29040,30134
0500000US53045,Mason County,24820,25864,NA,NA,NA,NA,NA,NA
0500000US53053,Pierce County,333657,328519,321268,317671,307056,302388,302287,300554
0500000US53057,Skagit County,49043,48474,49262,46423,48056,45447,45234,44671
0500000US53061,Snohomish County,299827,300215,292430,286116,284176,278683,270616,270568
0500000US53063,Spokane County,211723,206191,200949,195807,193117,187603,186456,189004
0500000US53067,Thurston County,112909,110713,112075,105863,105159,103319,99815,102335
0500000US53073,Whatcom County,88794,87080,88636,84011,80023,81973,78330,79029
0500000US53077,Yakima County,83992,83320,82107,81084,81709,79700,79742,78472
