GEO_ID,county,snap_2019,snap_2018,snap_2017,snap_2016,snap_2015,snap_2014,snap_2013,snap_2012
0500000US53001,"Adams County, Washington",1337,1153,1182,1093,1209,4562,4408,4429
0500000US53003,"Asotin County, Washington",1570,1500,1573,1679,1761,7623,7437,7475
0500000US53005,"Benton County, Washington",9610,9579,10650,10315,10619,56449,56029,56324
0500000US53007,"Chelan County, Washington",2772,2527,2687,2833,2920,24022,24204,24554
0500000US53009,"Clallam County, Washington",4668,4710,4655,4770,4912,26103,26292,26819
0500000US53011,"Clark County, Washington",21407,23116,24022,25280,25998,134977,134359,135895
0500000US53013,"Columbia County, Washington",262,221,304,299,358,1354,1320,1444
0500000US53015,"Cowlitz County, Washington",9084,9178,8872,8567,8978,30857,31137,31557
0500000US53017,"Douglas County, Washington",1726,1887,2023,2107,2115,11860,11864,12127
0500000US53019,"Ferry County, Washington",498,599,623,643,705,2384,2364,2338
0500000US53021,"Franklin County, Washington",4984,4924,4921,5055,4955,19134,18319,18084
0500000US53023,"Garfield County, Washington",82,86,100,94,128,811,899,958
0500000US53025,"Grant County, Washington",5700,5647,5760,5756,6327,23799,23654,23960
0500000US53027,"Grays Harbor County, Washington",5690,5877,6041,6022,5946,21417,21576,21971
0500000US53029,"Island County, Washington",2654,3154,3164,3261,3297,29659,30244,30242
0500000US53031,"Jefferson County, Washington",1253,1352,1481,1569,1657,11762,12074,12553
0500000US53033,"King County, Washington",74935,78104,82864,85155,86703,722360,721565,724338
0500000US53035,"Kitsap County, Washington",10567,11336,11833,11846,12384,85785,86006,86823
0500000US53037,"Kittitas County, Washington",1968,2013,2315,2421,2449,14322,13970,14229
0500000US53039,"Klickitat County, Washington",1601,1500,1357,1338,972,6754,6523,6719
0500000US53041,"Lewis County, Washington",5810,6114,6228,6201,6511,23077,23420,23649
0500000US53043,"Lincoln County, Washington",495,549,563,589,544,3961,3939,4052
0500000US53045,"Mason County, Washington",4105,4149,4156,4051,4038,18996,19439,19650
0500000US53047,"Okanogan County, Washington",3456,3559,3437,3579,3434,13073,12959,12777
0500000US53049,"Pacific County, Washington",1804,2003,2029,2066,2061,7203,7602,7719
0500000US53051,"Pend Oreille County, Washington",1068,1099,997,1112,1070,4317,4346,4301
0500000US53053,"Pierce County, Washington",41043,43327,45137,46220,46387,256405,257986,260775
0500000US53055,"San Juan County, Washington",410,447,490,570,606,6992,7158,7412
0500000US53057,"Skagit County, Washington",6152,6849,7415,7264,7478,37864,38342,39291
0500000US53059,"Skamania County, Washington",549,561,656,668,704,3706,3708,3795
0500000US53061,"Snohomish County, Washington",28711,29446,31598,32868,34342,238129,236452,239496
0500000US53063,"Spokane County, Washington",32453,33586,34203,34631,34846,154142,155447,157714
0500000US53065,"Stevens County, Washington",2872,3024,3091,3283,3430,14141,14477,14636
0500000US53067,"Thurston County, Washington",13039,12753,12997,13730,13631,88763,88783,89618
0500000US53069,"Wahkiakum County, Washington",261,279,303,313,299,1394,1361,1386
0500000US53071,"Walla Walla County, Washington",2951,2996,3015,3256,3348,18142,18209,18254
0500000US53073,"Whatcom County, Washington",10580,11066,12204,12420,12164,67377,67426,68816
0500000US53075,"Whitman County, Washington",1723,1787,1911,1998,2109,15330,15018,14980
0500000US53077,"Yakima County, Washington",18310,18554,19030,19223,19216,59923,60082,61978
