County,Count,Population,Percentage,Lower CI,Upper CI
State Total,10250,12693,74.39,73.32,75.43
Adams,79,110,66.36,50.49,79.23
Asotin,148,167,81.48,69.43,89.5
Benton,223,283,72.92,65.78,79.05
Chelan,139,181,67.9,58.18,76.29
Clallam,130,151,72.16,59.21,82.23
Clark,515,636,73.03,68.3,77.29
Columbia,121,138,71.35,62.03,79.15
Cowlitz,254,332,68.05,60.59,74.69
Douglas,85,108,65,52.11,76.02
Ferry,50,63,80.24,64.3,90.16
Franklin,91,121,72.86,62.99,80.9
Garfield,69,89,57.23,44.01,69.49
Grant,184,231,69.68,61.8,76.56
Grays Harbor,135,157,79.86,67.29,88.43
Island,164,190,83.21,72.38,90.36
Jefferson,102,114,81.67,70.51,89.25
King,2150,2714,75.61,73.56,77.55
Kitsap,318,376,79.53,73.62,84.39
Kittitas,105,133,74.02,62.05,83.24
Klickitat,95,115,73.81,56.29,86.04
Lewis,141,178,67.24,56.61,76.35
Lincoln,131,147,91.38,79.29,96.71
Mason,103,123,71.11,56.61,82.28
Okanogan,104,144,63.17,51.53,73.46
Pacific,99,112,64.15,48.27,77.43
Pend Oreille,85,96,87.2,75.33,93.82
Pierce,932,1187,73,69.8,75.97
San Juan,89,108,59.55,43.12,74.08
Skagit,184,225,74.6,66.05,81.6
Skamania,95,104,92.88,83.28,97.15
Snohomish,956,1187,76.47,73.4,79.29
Spokane,595,749,71.86,67.45,75.88
Stevens,209,254,73.07,62.36,81.63
Thurston,354,439,73.22,67.98,77.88
Wahkiakum,86,108,48.18,32.62,64.1
Walla Walla,117,137,62.46,52.82,71.21
Whatcom,297,347,82.12,76.62,86.55
Whitman,209,256,77.52,69.37,84
Yakima,307,383,74.43,68.64,79.47
