County,Count,Population,Percentage,Lower CI,Upper CI
State Total,34541,435544,7.93,7.85,8.01
Adams,32,1863,1.72,1.17,2.42
Asotin,299,1113,26.86,23.91,30.09
Benton,1016,12994,7.82,7.35,8.31
Chelan,321,4458,7.2,6.43,8.03
Clallam,571,3156,18.09,16.64,19.64
Clark,2823,27662,10.21,9.83,10.59
Columbia,31,170,18.24,12.39,25.88
Cowlitz,1211,6215,19.49,18.4,20.61
Douglas,177,2586,6.84,5.87,7.93
Ferry,68,335,20.3,15.76,25.73
Franklin,246,7879,3.12,2.74,3.54
Garfield,26,130,20,13.06,29.3
Grant,469,7303,6.42,5.85,7.03
Grays Harbor,724,3695,19.59,18.19,21.07
Island,400,4457,8.97,8.12,9.9
Jefferson,167,925,18.05,15.42,21.01
King,3921,124845,3.14,3.04,3.24
Kitsap,1660,15000,11.07,10.54,11.61
Kittitas,225,2048,10.99,9.6,12.52
Klickitat,150,1021,14.69,12.43,17.24
Lewis,833,4532,18.38,17.15,19.67
Lincoln,81,491,16.5,13.1,20.5
Mason,527,3132,16.83,15.42,18.33
Okanogan,302,2382,12.68,11.29,14.19
Pacific,207,903,22.92,19.91,26.27
Pend Oreille,120,591,20.3,16.83,24.28
Pierce,6056,56964,10.63,10.37,10.9
San Juan,32,422,7.58,5.19,10.7
Skagit,581,7113,8.17,7.52,8.86
Skamania,61,482,12.66,9.68,16.26
Snohomish,3386,48770,6.94,6.71,7.18
Spokane,3399,29233,11.63,11.24,12.02
Stevens,362,2072,17.47,15.72,19.37
Thurston,1697,15475,10.97,10.45,11.5
Wahkiakum,27,126,21.43,14.12,31.18
Walla Walla,275,3137,8.77,7.76,9.87
Whatcom,839,10906,7.69,7.18,8.23
Whitman,120,1991,6.03,5,7.21
Yakima,1060,18781,5.64,5.31,5.99
