County,Population (2020),pui_2012,pui_2013,pui_2014,pui_2015,pui_2016,pui_2017,pui_2018,pui_2019,he_2019,he_2018,he_2017,he_2016,he_2015,he_2014,he_2013,he_2012
Adams,20613,23.3,18.0,16.7,18.2,15.9,12.9,14.5,7.4,5973,5881,5824,5733,5802,5827,5738,5722
Asotin,22285,10.5,12.2,8.9,4.4,5.5,4.0,4.3,2.7,9101,9171,9235,9297,9341,9405,9058,9046
Benton,206873,13.0,16.9,8.5,3.4,4.8,5.3,4.8,6.1,72121,70983,70363,68418,67430,66625,65675,64660
Chelan,79074,16.0,19.7,11.8,6.1,6.2,10.0,10.6,10.4,28384,28038,27383,27200,27052,27183,27220,27048
Clallam,77155,14.5,15.5,11.1,6.9,7.0,7.4,8.3,9.1,32958,32732,32280,31438,31321,30963,30814,30877
Clark,503311,13.4,12.5,8.6,6.6,4.6,5.1,6.1,5.5,174661,171522,167717,164354,162441,160492,158855,158365
Columbia,3952,11.2,12.2,8.9,4.3,5.8,4.0,4.6,3.0,1795,1758,1759,1689,1686,1706,1651,1713
Cowlitz,110730,14.5,14.8,9.7,6.4,5.5,4.4,5.8,5.0,41952,41397,40668,39671,39763,39765,39602,39683
Douglas,42938,16.7,20.8,12.6,6.4,7.0,10.6,11.7,11.7,15263,15064,14706,14348,14212,14140,13976,14056
Ferry,7178,16.9,18.0,11.8,8.5,9.8,8.5,10.9,7.3,3060,3097,3056,3039,3103,3112,2951,2877
Franklin,96749,19.5,20.7,17.1,11.0,12.5,10.3,14.5,16.9,26723,26316,25835,25157,24725,24207,23445,22847
Garfield,2286,10.1,12.5,8.5,4.0,4.9,3.6,4.4,1.9,984,997,1007,952,953,906,970,1001
Grant,99123,19.2,23.8,16.6,14.7,13.2,11.3,11.9,13.8,30818,30651,30512,29783,30358,30233,30012,30067
Grays Harbor,75636,18.1,22.2,9.5,7.8,6.8,6.7,9.1,4.5,28722,28263,28070,27472,27219,27318,27396,27905
Island,86857,11.1,12.8,8.9,4.5,4.3,4.4,4.2,5.3,34768,34364,34027,33388,33125,32820,33096,33190
Jefferson,32977,12.9,14.5,9.3,6.2,5.3,6.5,7.7,6.9,14705,14239,13903,13561,13422,13535,13801,14181
King,2269675,12.1,11.8,6.6,4.5,4.5,5.3,5.1,5.0,882028,865627,851077,831995,819651,808729,802606,796555
Kitsap,275611,12.1,10.6,5.2,4.9,5.7,2.6,4.6,3.9,103913,101662,100484,98250,97739,97993,97622,97668
Kittitas,44337,13.8,20.1,9.5,10.0,8.1,5.9,5.7,7.4,18347,18003,17648,17164,16953,16753,16538,16499
Klickitat,22735,13.8,14.5,11.3,6.4,5.8,9.3,6.5,5.9,8877,8539,8247,8069,7863,7959,8019,8294
Lewis,82149,14.5,14.9,11.9,6.0,6.3,8.7,6.4,6.1,30618,30262,30036,29426,29515,29450,29527,29486
Lincoln,10876,9.6,11.5,7.5,4.1,5.1,4.3,3.9,3.0,4525,4485,4416,4337,4370,4445,4457,4610
Mason,65726,17.2,21.4,9.1,7.3,5.9,6.2,8.4,4.0,24278,23535,23034,22454,23026,23099,23358,23274
Okanogan,42104,21.3,20.3,13.7,10.4,12.0,14.1,12.6,8.4,17675,17527,17075,16804,16619,16401,15980,15740
Pacific,23365,12.5,13.2,8.5,5.7,5.3,4.1,5.3,4.0,9279,9087,8786,8986,9100,9143,9366,9363
Pend Oreille,13401,15.5,16.6,10.6,6.9,8.8,7.6,9.3,6.6,5727,5782,5637,5409,5396,5532,5484,5434
Pierce,921130,13.8,13.2,8.3,5.7,4.7,5.5,4.9,5.3,323296,317699,312839,307106,303586,301364,300623,299334
San Juan,17788,10.2,11.6,7.6,3.7,4.1,4.2,4.1,5.0,8252,8025,7718,7623,7708,7611,7753,7963
Skagit,129523,14.2,13.8,10.8,4.9,5.2,5.6,6.0,6.7,48493,47937,47341,46108,45841,45309,45293,45474
Skamania,12036,13.3,14.5,10.9,5.4,6.5,8.5,5.8,6.0,4816,4685,4713,4577,4495,4433,4452,4378
Snohomish,827957,13.5,12.8,7.5,5.4,4.7,4.4,6.5,6.6,293823,289737,284477,278626,274766,271514,268722,268546
Spokane,539339,12.7,15.8,7.4,5.1,4.6,4.2,4.9,5.9,202811,198489,194995,191222,189471,188126,187572,187397
Stevens,46445,16.0,16.3,10.4,7.0,8.9,7.7,9.8,7.0,17554,17433,17534,17442,17679,17626,17684,17634
Thurston,294793,14.1,11.9,7.1,6.1,3.9,3.0,4.6,5.7,109983,108070,106229,103468,102631,101530,100801,100766
Wahkiakum,4422,10.6,11.0,7.2,4.1,4.2,3.4,3.7,3.5,1897,1844,1823,1789,1716,1716,1715,1699
Walla Walla,62584,19.2,18.0,14.1,8.7,7.0,8.0,10.1,10.9,22646,22304,22391,21851,21696,21698,21677,21497
Whatcom,226847,13.2,14.6,6.9,7.2,5.6,4.9,5.8,6.4,86523,85008,83475,81019,79767,79837,79314,79244
Whitman,47973,13.2,15.3,10.8,6.5,6.7,4.2,5.0,4.5,17999,17910,17657,17185,17399,17174,16624,16424
Yakima,256728,23.0,25.9,11.6,10.5,10.3,9.0,15.1,10.6,83048,82300,81720,80196,79972,79717,79679,79478
