County,year,pui,snap,he,Population (2020),WA_adults_cost_prohibited_healthcare_access_pct_2019_bycounty,WA_adults_flu_shot_pct_2019_bycounty,WA_adult_poor_mental_health_pct_2019_bycounty,WA_adult_binge_drinking_pct_2019_bycounty,WA_maternal_smoking_pct_2019_bycounty
Adams,2012,23.3,4429,5722,20613,10.34,31.69,5.01,8.47,1.72
Adams,2013,18.0,4408,5738,20613,10.34,31.69,5.01,8.47,1.72
Adams,2014,16.7,4562,5827,20613,10.34,31.69,5.01,8.47,1.72
Adams,2015,18.2,1209,5802,20613,10.34,31.69,5.01,8.47,1.72
Adams,2016,15.9,1093,5733,20613,10.34,31.69,5.01,8.47,1.72
Adams,2017,12.9,1182,5824,20613,10.34,31.69,5.01,8.47,1.72
Adams,2018,14.5,1153,5881,20613,10.34,31.69,5.01,8.47,1.72
Adams,2019,7.4,1337,5973,20613,10.34,31.69,5.01,8.47,1.72
Asotin,2012,10.5,7475,9046,22285,12.28,33.41,19.64,13.07,26.86
Asotin,2013,12.2,7437,9058,22285,12.28,33.41,19.64,13.07,26.86
Asotin,2014,8.9,7623,9405,22285,12.28,33.41,19.64,13.07,26.86
Asotin,2015,4.4,1761,9341,22285,12.28,33.41,19.64,13.07,26.86
Asotin,2016,5.5,1679,9297,22285,12.28,33.41,19.64,13.07,26.86
Asotin,2017,4.0,1573,9235,22285,12.28,33.41,19.64,13.07,26.86
Asotin,2018,4.3,1500,9171,22285,12.28,33.41,19.64,13.07,26.86
Asotin,2019,2.7,1570,9101,22285,12.28,33.41,19.64,13.07,26.86
Benton,2012,13.0,56324,64660,206873,12.86,39.56,15.44,14.48,7.82
Benton,2013,16.9,56029,65675,206873,12.86,39.56,15.44,14.48,7.82
Benton,2014,8.5,56449,66625,206873,12.86,39.56,15.44,14.48,7.82
Benton,2015,3.4,10619,67430,206873,12.86,39.56,15.44,14.48,7.82
Benton,2016,4.8,10315,68418,206873,12.86,39.56,15.44,14.48,7.82
Benton,2017,5.3,10650,70363,206873,12.86,39.56,15.44,14.48,7.82
Benton,2018,4.8,9579,70983,206873,12.86,39.56,15.44,14.48,7.82
Benton,2019,6.1,9610,72121,206873,12.86,39.56,15.44,14.48,7.82
Chelan,2012,16.0,24554,27048,79074,12.51,42.59,10.54,16.89,7.2
Chelan,2013,19.7,24204,27220,79074,12.51,42.59,10.54,16.89,7.2
Chelan,2014,11.8,24022,27183,79074,12.51,42.59,10.54,16.89,7.2
Chelan,2015,6.1,2920,27052,79074,12.51,42.59,10.54,16.89,7.2
Chelan,2016,6.2,2833,27200,79074,12.51,42.59,10.54,16.89,7.2
Chelan,2017,10.0,2687,27383,79074,12.51,42.59,10.54,16.89,7.2
Chelan,2018,10.6,2527,28038,79074,12.51,42.59,10.54,16.89,7.2
Chelan,2019,10.4,2772,28384,79074,12.51,42.59,10.54,16.89,7.2
Clallam,2012,14.5,26819,30877,77155,15.07,38.18,16.69,10.61,18.09
Clallam,2013,15.5,26292,30814,77155,15.07,38.18,16.69,10.61,18.09
Clallam,2014,11.1,26103,30963,77155,15.07,38.18,16.69,10.61,18.09
Clallam,2015,6.9,4912,31321,77155,15.07,38.18,16.69,10.61,18.09
Clallam,2016,7.0,4770,31438,77155,15.07,38.18,16.69,10.61,18.09
Clallam,2017,7.4,4655,32280,77155,15.07,38.18,16.69,10.61,18.09
Clallam,2018,8.3,4710,32732,77155,15.07,38.18,16.69,10.61,18.09
Clallam,2019,9.1,4668,32958,77155,15.07,38.18,16.69,10.61,18.09
Clark,2012,13.4,135895,158365,503311,12.2,40.25,12.16,13.57,10.21
Clark,2013,12.5,134359,158855,503311,12.2,40.25,12.16,13.57,10.21
Clark,2014,8.6,134977,160492,503311,12.2,40.25,12.16,13.57,10.21
Clark,2015,6.6,25998,162441,503311,12.2,40.25,12.16,13.57,10.21
Clark,2016,4.6,25280,164354,503311,12.2,40.25,12.16,13.57,10.21
Clark,2017,5.1,24022,167717,503311,12.2,40.25,12.16,13.57,10.21
Clark,2018,6.1,23116,171522,503311,12.2,40.25,12.16,13.57,10.21
Clark,2019,5.5,21407,174661,503311,12.2,40.25,12.16,13.57,10.21
Columbia,2012,11.2,1444,1713,3952,4.22,55.65,5.64,8.91,18.24
Columbia,2013,12.2,1320,1651,3952,4.22,55.65,5.64,8.91,18.24
Columbia,2014,8.9,1354,1706,3952,4.22,55.65,5.64,8.91,18.24
Columbia,2015,4.3,358,1686,3952,4.22,55.65,5.64,8.91,18.24
Columbia,2016,5.8,299,1689,3952,4.22,55.65,5.64,8.91,18.24
Columbia,2017,4.0,304,1759,3952,4.22,55.65,5.64,8.91,18.24
Columbia,2018,4.6,221,1758,3952,4.22,55.65,5.64,8.91,18.24
Columbia,2019,3.0,262,1795,3952,4.22,55.65,5.64,8.91,18.24
Cowlitz,2012,14.5,31557,39683,110730,15.43,36.37,19.31,13.53,19.49
Cowlitz,2013,14.8,31137,39602,110730,15.43,36.37,19.31,13.53,19.49
Cowlitz,2014,9.7,30857,39765,110730,15.43,36.37,19.31,13.53,19.49
Cowlitz,2015,6.4,8978,39763,110730,15.43,36.37,19.31,13.53,19.49
Cowlitz,2016,5.5,8567,39671,110730,15.43,36.37,19.31,13.53,19.49
Cowlitz,2017,4.4,8872,40668,110730,15.43,36.37,19.31,13.53,19.49
Cowlitz,2018,5.8,9178,41397,110730,15.43,36.37,19.31,13.53,19.49
Cowlitz,2019,5.0,9084,41952,110730,15.43,36.37,19.31,13.53,19.49
Douglas,2012,16.7,12127,14056,42938,7.41,40.21,14.02,20.76,6.84
Douglas,2013,20.8,11864,13976,42938,7.41,40.21,14.02,20.76,6.84
Douglas,2014,12.6,11860,14140,42938,7.41,40.21,14.02,20.76,6.84
Douglas,2015,6.4,2115,14212,42938,7.41,40.21,14.02,20.76,6.84
Douglas,2016,7.0,2107,14348,42938,7.41,40.21,14.02,20.76,6.84
Douglas,2017,10.6,2023,14706,42938,7.41,40.21,14.02,20.76,6.84
Douglas,2018,11.7,1887,15064,42938,7.41,40.21,14.02,20.76,6.84
Douglas,2019,11.7,1726,15263,42938,7.41,40.21,14.02,20.76,6.84
Ferry,2012,16.9,2338,2877,7178,13.91,18.95,12.21,9.27,20.3
Ferry,2013,18.0,2364,2951,7178,13.91,18.95,12.21,9.27,20.3
Ferry,2014,11.8,2384,3112,7178,13.91,18.95,12.21,9.27,20.3
Ferry,2015,8.5,705,3103,7178,13.91,18.95,12.21,9.27,20.3
Ferry,2016,9.8,643,3039,7178,13.91,18.95,12.21,9.27,20.3
Ferry,2017,8.5,623,3056,7178,13.91,18.95,12.21,9.27,20.3
Ferry,2018,10.9,599,3097,7178,13.91,18.95,12.21,9.27,20.3
Ferry,2019,7.3,498,3060,7178,13.91,18.95,12.21,9.27,20.3
Franklin,2012,19.5,18084,22847,96749,14.26,33.16,9.85,9.81,3.12
Franklin,2013,20.7,18319,23445,96749,14.26,33.16,9.85,9.81,3.12
Franklin,2014,17.1,19134,24207,96749,14.26,33.16,9.85,9.81,3.12
Franklin,2015,11.0,4955,24725,96749,14.26,33.16,9.85,9.81,3.12
Franklin,2016,12.5,5055,25157,96749,14.26,33.16,9.85,9.81,3.12
Franklin,2017,10.3,4921,25835,96749,14.26,33.16,9.85,9.81,3.12
Franklin,2018,14.5,4924,26316,96749,14.26,33.16,9.85,9.81,3.12
Franklin,2019,16.9,4984,26723,96749,14.26,33.16,9.85,9.81,3.12
Garfield,2012,10.1,958,1001,2286,13.06,29.88,4.34,20.43,20.0
Garfield,2013,12.5,899,970,2286,13.06,29.88,4.34,20.43,20.0
Garfield,2014,8.5,811,906,2286,13.06,29.88,4.34,20.43,20.0
Garfield,2015,4.0,128,953,2286,13.06,29.88,4.34,20.43,20.0
Garfield,2016,4.9,94,952,2286,13.06,29.88,4.34,20.43,20.0
Garfield,2017,3.6,100,1007,2286,13.06,29.88,4.34,20.43,20.0
Garfield,2018,4.4,86,997,2286,13.06,29.88,4.34,20.43,20.0
Garfield,2019,1.9,82,984,2286,13.06,29.88,4.34,20.43,20.0
Grant,2012,19.2,23960,30067,99123,12.48,35.59,13.58,10.99,6.42
Grant,2013,23.8,23654,30012,99123,12.48,35.59,13.58,10.99,6.42
Grant,2014,16.6,23799,30233,99123,12.48,35.59,13.58,10.99,6.42
Grant,2015,14.7,6327,30358,99123,12.48,35.59,13.58,10.99,6.42
Grant,2016,13.2,5756,29783,99123,12.48,35.59,13.58,10.99,6.42
Grant,2017,11.3,5760,30512,99123,12.48,35.59,13.58,10.99,6.42
Grant,2018,11.9,5647,30651,99123,12.48,35.59,13.58,10.99,6.42
Grant,2019,13.8,5700,30818,99123,12.48,35.59,13.58,10.99,6.42
Grays Harbor,2012,18.1,21971,27905,75636,13.59,39.31,18.34,17.58,19.59
Grays Harbor,2013,22.2,21576,27396,75636,13.59,39.31,18.34,17.58,19.59
Grays Harbor,2014,9.5,21417,27318,75636,13.59,39.31,18.34,17.58,19.59
Grays Harbor,2015,7.8,5946,27219,75636,13.59,39.31,18.34,17.58,19.59
Grays Harbor,2016,6.8,6022,27472,75636,13.59,39.31,18.34,17.58,19.59
Grays Harbor,2017,6.7,6041,28070,75636,13.59,39.31,18.34,17.58,19.59
Grays Harbor,2018,9.1,5877,28263,75636,13.59,39.31,18.34,17.58,19.59
Grays Harbor,2019,4.5,5690,28722,75636,13.59,39.31,18.34,17.58,19.59
Island,2012,11.1,30242,33190,86857,8.93,38.64,7.85,17.55,8.97
Island,2013,12.8,30244,33096,86857,8.93,38.64,7.85,17.55,8.97
Island,2014,8.9,29659,32820,86857,8.93,38.64,7.85,17.55,8.97
Island,2015,4.5,3297,33125,86857,8.93,38.64,7.85,17.55,8.97
Island,2016,4.3,3261,33388,86857,8.93,38.64,7.85,17.55,8.97
Island,2017,4.4,3164,34027,86857,8.93,38.64,7.85,17.55,8.97
Island,2018,4.2,3154,34364,86857,8.93,38.64,7.85,17.55,8.97
Island,2019,5.3,2654,34768,86857,8.93,38.64,7.85,17.55,8.97
Jefferson,2012,12.9,12553,14181,32977,12.08,37.65,8.25,18.56,18.05
Jefferson,2013,14.5,12074,13801,32977,12.08,37.65,8.25,18.56,18.05
Jefferson,2014,9.3,11762,13535,32977,12.08,37.65,8.25,18.56,18.05
Jefferson,2015,6.2,1657,13422,32977,12.08,37.65,8.25,18.56,18.05
Jefferson,2016,5.3,1569,13561,32977,12.08,37.65,8.25,18.56,18.05
Jefferson,2017,6.5,1481,13903,32977,12.08,37.65,8.25,18.56,18.05
Jefferson,2018,7.7,1352,14239,32977,12.08,37.65,8.25,18.56,18.05
Jefferson,2019,6.9,1253,14705,32977,12.08,37.65,8.25,18.56,18.05
King,2012,12.1,724338,796555,2269675,10.7,46.48,12.0,16.78,3.14
King,2013,11.8,721565,802606,2269675,10.7,46.48,12.0,16.78,3.14
