GEO_ID,county,he_2019,he_2018,he_2017,he_2016,he_2015,he_2014,he_2013,he_2012
0500000US53001,"Adams County, Washington",5973,5881,5824,5733,5802,5827,5738,5722
0500000US53003,"Asotin County, Washington",9101,9171,9235,9297,9341,9405,9058,9046
0500000US53005,"Benton County, Washington",72121,70983,70363,68418,67430,66625,65675,64660
0500000US53007,"Chelan County, Washington",28384,28038,27383,27200,27052,27183,27220,27048
0500000US53009,"Clallam County, Washington",32958,32732,32280,31438,31321,30963,30814,30877
0500000US53011,"Clark County, Washington",174661,171522,167717,164354,162441,160492,158855,158365
0500000US53013,"Columbia County, Washington",1795,1758,1759,1689,1686,1706,1651,1713
0500000US53015,"Cowlitz County, Washington",41952,41397,40668,39671,39763,39765,39602,39683
0500000US53017,"Douglas County, Washington",15263,15064,14706,14348,14212,14140,13976,14056
0500000US53019,"Ferry County, Washington",3060,3097,3056,3039,3103,3112,2951,2877
0500000US53021,"Franklin County, Washington",26723,26316,25835,25157,24725,24207,23445,22847
0500000US53023,"Garfield County, Washington",984,997,1007,952,953,906,970,1001
0500000US53025,"Grant County, Washington",30818,30651,30512,29783,30358,30233,30012,30067
0500000US53027,"Grays Harbor County, Washington",28722,28263,28070,27472,27219,27318,27396,27905
0500000US53029,"Island County, Washington",34768,34364,34027,33388,33125,32820,33096,33190
0500000US53031,"Jefferson County, Washington",14705,14239,13903,13561,13422,13535,13801,14181
0500000US53033,"King County, Washington",882028,865627,851077,831995,819651,808729,802606,796555
0500000US53035,"Kitsap County, Washington",103913,101662,100484,98250,97739,97993,97622,97668
0500000US53037,"Kittitas County, Washington",18347,18003,17648,17164,16953,16753,16538,16499
0500000US53039,"Klickitat County, Washington",8877,8539,8247,8069,7863,7959,8019,8294
0500000US53041,"Lewis County, Washington",30618,30262,30036,29426,29515,29450,29527,29486
0500000US53043,"Lincoln County, Washington",4525,4485,4416,4337,4370,4445,4457,4610
0500000US53045,"Mason County, Washington",24278,23535,23034,22454,23026,23099,23358,23274
0500000US53047,"Okanogan County, Washington",17675,17527,17075,16804,16619,16401,15980,15740
0500000US53049,"Pacific County, Washington",9279,9087,8786,8986,9100,9143,9366,9363
0500000US53051,"Pend Oreille County, Washington",5727,5782,5637,5409,5396,5532,5484,5434
0500000US53053,"Pierce County, Washington",323296,317699,312839,307106,303586,301364,300623,299334
0500000US53055,"San Juan County, Washington",8252,8025,7718,7623,7708,7611,7753,7963
0500000US53057,"Skagit County, Washington",48493,47937,47341,46108,45841,45309,45293,45474
0500000US53059,"Skamania County, Washington",4816,4685,4713,4577,4495,4433,4452,4378
0500000US53061,"Snohomish County, Washington",293823,289737,284477,278626,274766,271514,268722,268546
0500000US53063,"Spokane County, Washington",202811,198489,194995,191222,189471,188126,187572,187397
0500000US53065,"Stevens County, Washington",17554,17433,17534,17442,17679,17626,17684,17634
0500000US53067,"Thurston County, Washington",109983,108070,106229,103468,102631,101530,100801,100766
0500000US53069,"Wahkiakum County, Washington",1897,1844,1823,1789,1716,1716,1715,1699
0500000US53071,"Walla Walla County, Washington",22646,22304,22391,21851,21696,21698,21677,21497
0500000US53073,"Whatcom County, Washington",86523,85008,83475,81019,79767,79837,79314,79244
0500000US53075,"Whitman County, Washington",17999,17910,17657,17185,17399,17174,16624,16424
0500000US53077,"Yakima County, Washington",83048,82300,81720,80196,79972,79717,79679,79478
