County,Count,Population,Percentage,Lower CI,Upper CI
State Total,4209,37914,13,12.52,13.49
Adams,35,394,5.01,3.08,8.05
Asotin,75,542,19.64,13.25,28.11
Benton,106,892,15.44,12.56,18.83
Chelan,54,525,10.54,7.62,14.39
Clallam,56,493,16.69,11.47,23.66
Clark,199,1864,12.16,10.33,14.26
Columbia,25,353,5.64,2.04,14.67
Cowlitz,159,1050,19.31,15.93,23.22
Douglas,36,314,14.02,9.39,20.42
Ferry,17,151,12.21,6.27,22.45
Franklin,36,367,9.85,6.7,14.25
Garfield,27,274,4.34,2.3,8.05
Grant,82,713,13.58,10.49,17.39
Grays Harbor,58,457,18.34,13.41,24.57
Island,44,538,7.85,5.5,11.09
Jefferson,35,415,8.25,4.45,14.78
King,853,8237,12,11.13,12.94
Kitsap,134,1104,14.83,12.08,18.07
Kittitas,46,466,10.43,7.2,14.86
Klickitat,43,394,11.85,7.42,18.39
Lewis,54,532,8.92,6.33,12.43
Lincoln,27,418,8.21,3.6,17.63
Mason,48,414,17.8,12.31,25.04
Okanogan,29,444,8.44,5.16,13.51
Pacific,34,333,8.59,4.93,14.54
Pend Oreille,32,266,9.18,4.73,17.07
Pierce,420,3360,14.07,12.67,15.59
San Juan,28,325,12.04,6.15,22.25
Skagit,67,661,13.24,9.96,17.4
Skamania,41,306,12.02,7.46,18.81
Snohomish,371,3400,12.61,11.25,14.12
Spokane,279,2154,15.4,13.43,17.6
Stevens,95,739,15.6,10.89,21.85
Thurston,131,1258,12.28,10.07,14.9
Wahkiakum,43,319,18.22,10.84,29.01
Walla Walla,52,460,14.78,10.27,20.81
Whatcom,122,1026,15.07,12.2,18.47
Whitman,83,790,12.11,8.89,16.27
Yakima,133,1166,12.35,10.23,14.83
