County,Count,Population,Percentage,Lower CI,Upper CI
State Total,3684,38473,11.9,11.44,12.37
Adams,34,399,10.34,6.35,16.4
Asotin,45,549,12.28,7.17,20.23
Benton,95,910,12.86,10.28,15.98
Chelan,52,529,12.51,9.22,16.77
Clallam,42,504,15.07,10.12,21.87
Clark,192,1898,12.2,10.35,14.33
Columbia,19,359,4.22,1.46,11.55
Cowlitz,121,1069,15.43,12.21,19.31
Douglas,22,318,7.41,4.49,11.99
Ferry,21,152,13.91,7.8,23.58
Franklin,48,378,14.26,10.36,19.29
Garfield,20,282,13.06,6.45,24.65
Grant,74,728,12.48,9.75,15.83
Grays Harbor,44,472,13.59,9.08,19.86
Island,44,545,8.93,6.17,12.75
Jefferson,24,422,12.08,7.02,20.01
King,755,8327,10.7,9.88,11.57
Kitsap,75,1114,8.41,6.26,11.21
Kittitas,49,472,13.54,9.55,18.85
Klickitat,33,402,15.56,8.97,25.63
Lewis,64,549,13.48,9.52,18.75
Lincoln,40,423,15.13,8.48,25.55
Mason,44,423,18.19,12.46,25.77
Okanogan,36,445,10.46,6.89,15.56
Pacific,28,339,19.87,11.37,32.41
Pend Oreille,30,272,15.75,8.56,27.19
Pierce,358,3406,11.83,10.54,13.25
San Juan,25,331,13.2,7.82,21.4
Skagit,70,674,14.45,11.04,18.69
Skamania,24,317,6.69,3.58,12.17
Snohomish,336,3440,11.53,10.23,12.98
Spokane,217,2178,12.6,10.74,14.71
Stevens,69,749,15.38,9.93,23.07
Thurston,115,1275,11.51,9.33,14.11
Wahkiakum,28,328,14.71,6.99,28.35
Walla Walla,32,469,10.71,6.92,16.21
Whatcom,127,1041,15.18,12.44,18.39
Whitman,71,795,9.74,6.74,13.89
Yakima,161,1190,16.72,14.19,19.59
