County,Count,Population,Percentage,Lower CI,Upper CI
State Total,300977,406490,74.04,73.78,74.31
Adams,1425,1832,77.78,73.8,81.93
Asotin,814,1103,73.8,68.82,79.05
Benton,8782,12107,72.54,71.03,74.07
Chelan,3345,4392,76.16,73.6,78.79
Clallam,2068,3042,67.98,65.08,70.98
Clark,19603,26973,72.68,71.66,73.7
Columbia,124,168,73.81,61.39,88
Cowlitz,4667,6169,75.65,73.5,77.85
Douglas,1973,2543,77.59,74.2,81.09
Ferry,194,320,60.63,52.39,69.78
Franklin,5032,7378,68.2,66.33,70.11
Garfield,94,129,72.87,58.88,89.17
Grant,5381,7146,75.3,73.3,77.34
Grays Harbor,2338,3476,67.26,64.56,70.04
Island,3048,4285,71.13,68.63,73.7
Jefferson,619,904,68.47,63.18,74.09
King,91728,119251,76.92,76.42,77.42
Kitsap,10210,14461,70.6,69.24,71.99
Kittitas,1547,2013,76.85,73.07,80.78
Klickitat,761,976,77.97,72.53,83.71
Lewis,3322,4382,75.81,73.25,78.43
Lincoln,358,453,79.03,71.05,87.65
Mason,1923,3031,63.44,60.64,66.34
Okanogan,1547,2293,67.47,64.15,70.91
Pacific,623,864,72.11,66.55,78
Pend Oreille,389,573,67.89,61.31,74.98
Pierce,36038,52109,69.16,68.45,69.88
San Juan,291,409,71.15,63.21,79.81
Skagit,4723,6869,68.76,66.81,70.75
Skamania,348,459,75.82,68.06,84.22
Snohomish,30975,41073,75.41,74.58,76.26
Spokane,20748,26326,78.81,77.74,79.89
Stevens,1343,1980,67.83,64.25,71.56
Thurston,9710,13591,71.44,70.03,72.88
Wahkiakum,81,126,64.29,51.05,79.9
Walla Walla,2316,3083,75.12,72.09,78.24
Whatcom,7722,10508,73.49,71.86,75.14
Whitman,1436,1958,73.34,69.6,77.23
Yakima,13270,17609,75.36,74.08,76.65
